SITE_ID,LATITUDE,LONGITUDE,MAX_HEIGHT_M,SITE_NAME,STATUS
50508,-35.32233,149.13653,30.0,"Telstra Site Evans Crescent GRIFFITH",MATCHED
9007493,-35.237957,149.117781,18.6,"3GIS Site Fernyhough Cres WEST LYNEHAM",MATCHED
133305,-35.27984,149.12619,47.0,"Telstra Site 1 Hobart Pl CANBERRA",MATCHED
9002163,-35.439576,149.098111,15.2,"Light Pole No 611355 Duggan Street opposite Downard Street CALWELL",MATCHED
9002162,-35.376477,149.06928,16.3,"Light Pole No 6011442 Sulwood Dr. & Inkster St. NORTH KAMBAH",MATCHED
133439,-35.3522,149.23214,26.0,"Telstra Site 7-9 Morisset St QUEANBEYAN",MATCHED
205305,-35.304502,149.092362,34.0,"CMTS Site Banks St YARRALUMLA",MATCHED
34653,-35.344981,149.0849,65.0,"MLC Tower Keltie St WODEN",MATCHED
133467,-35.422253,149.10188,65.0,"Telstra Site cnr Isabella Dr and Ashley Dr RICHARDSON",MATCHED
306035,-32.310925,115.998711,48.6,"Optus Site Lot 1 Shanley Rd MARDELLA",MATCHED
480713,-32.388497,115.768794,35.5,"Optus/Hutchison Site Lot 4 Mandurah Rd PORT KENNEDY",MATCHED
9013302,-42.7387,147.27794,27.1,"Telstra Site 203 Briggs Rd GAGEBROOK",MATCHED
9011562,-31.64792,115.69499,21.0,"Telstra Site Cnr Roundhouse Pde and Cockleshell Brace JINDALEE",MATCHED
9017332,-31.987913,115.769036,12.0,"Telstra Exchange 1 Congdon St COTTESLOE",MATCHED
9014350,-42.820716,147.241215,35.0,"Telstra Site 12 McLean Court ROSETTA",MATCHED
601506,-31.790324,115.821902,29.0,"CMTS Site Lot 8 (41) Prindiville Drive WANGARA",MATCHED
132201,-32.110128,115.800325,26.0,"Telstra Radio Base Station Bibra Lake Lot 101 Fremantle Stone Howson Way BIBRA LAKE",MATCHED
570493,-12.373045,130.881999,28.8,"Telstra/Optus Site Lot 9329 (13) Scaturchio St CASUARINA",MATCHED
9013819,-12.454419,130.836994,46.3,"Telstra Site 1 Buffalo Ct DARWIN CITY",MATCHED
1009,-12.465094,130.842633,61.0,"NT House Mitchell Street DARWIN",MATCHED
1146,-12.355592,130.881856,50.0,"Royal Darwin Hospital Rocklands Drive TIWI",MATCHED
9008259,-12.446159,130.907514,30.0,"Telstra - Admin Bld  BERRIMAH",MATCHED
9002816,-12.50875,130.964034,52.0,"PT",MATCHED
700393,-42.98876,147.31387,31.8,"Telstra Site Jindabyne Road BORONIA HILL",MATCHED
603125,-32.52006,115.75101,20.0,"Telstra Site Water Corporation GREENFIELDS",MATCHED
9011451,-31.717584,115.805677,39.8,"Telstra RBS Site 294 Pinjar Rd MARIGINIUP",MATCHED
1230,-12.448504,130.836602,44.0,"Nominal Planning Site Blake Street DARWIN",MATCHED
9010546,-12.461029,130.961505,50.0,"Telstra RBS Site 78 McKinnon Road PINELANDS",MATCHED
41010,-12.480794,130.984368,37.0,"PAWA Water Tower PALMERSTON",MATCHED
53355,-12.373967,130.867644,61.0,"Adj Fleet Car Park Charles Darwin Uni University Drive South BRINKIN",MATCHED
601836,-31.977502,115.849225,24.0,"PDM House 72 Melville Parade SOUTH PERTH",MATCHED
51079,-32.298205,115.774743,50.6,"CMTS Site Rockingham Golf Club Elanora Drive COOLOONGUP",MATCHED
131718,-32.054336,115.741447,39.0,"Telstra CDMA FPA Building Victoria Quay FREMANTLE",MATCHED
135103,-32.044144,115.82311,34.0,"Optus Site Melville 89 McCoy Street BOORAGOON",MATCHED
